ticker,return,volatility,volume,cluster,cluster_proba
ALK,0.0008416973343050149,0.018485613692162957,1538327.0751211632,0,0.6866153576673066
ALL,0.0006231252012000144,0.009421689039041291,2389482.4022617126,2,0.9800824210919806
ALLE,0.0006630666262772686,0.012317392581177271,712900.1497120921,2,0.9842985416626949
ALXN,0.00048317300448294666,0.022748644163944738,1750240.4886914378,0,0.9932850954205755
AMAT,0.0011850861566235161,0.0164569402589645,13228573.302907916,3,0.9002786850720398
AMD,0.0019064925631311748,0.03377974180742684,32803420.671243943,1,1.0
AME,0.0005189292117466639,0.011083394699808253,1316288.7035541194,2,0.989836654983314
AMG,0.0003205696348045999,0.01564770011762976,453944.1704361874,2,0.8286054138010305
AMGN,0.000659647770844947,0.014810692218914167,3432067.4273021,2,0.6108736549280018
AMP,0.0007627517253796846,0.01436839695994039,1126256.1276252018,2,0.9609061651620885
AMT,0.0005541831431424464,0.011309268941794699,2273357.1882067854,2,0.9810684739823866
AMZN,0.001501932233210691,0.01659384700000216,3740493.841680129,0,0.9410627319775852
ANDV,0.0006602561063224448,0.019375600082549398,2596348.0807754444,0,0.9181404498786895
ANSS,0.0006184714654359518,0.012287960486851083,441447.14539579966,2,0.9807177409698555
ANTM,0.001171238101139235,0.013666231012206776,1877084.224555735,2,0.8967164166692658
AON,0.0007462710190841249,0.010306640456292622,1301168.0105008078,2,0.9914238449853857
AOS,0.0010957871582760272,0.01313769108882514,1260343.866720517,2,0.9598838708216318
APA,-0.00026084958891232636,0.020761956447570732,3824658.4555735057,0,0.9320196963257597
APC,-3.92953286809459e-05,0.020189531688345027,5001241.395799677,0,0.9656905844515599
APD,0.0005419487228088627,0.011582988434437528,1335612.3602584815,2,0.9886400384326299
APH,0.0007782841433936694,0.010638388435129336,1221894.0008077545,2,0.9909620863283831
APTV,0.0023827976615551747,0.012828874303513395,2257409.0434782607,1,0.8283102981614889
ARE,0.0004656812470196557,0.010567365516847468,528993.0436187399,2,0.9868086480084468
ARNC,0.0002802745830192669,0.02141893414736143,6831356.448303715,0,0.9385302800692049
ATVI,0.0014221477654604193,0.017357130053164173,7556652.918416801,0,0.8861812779200876
AVB,0.00025651319825359045,0.010425353915344342,767653.6397415185,2,0.9811894856074672
AVGO,0.0017431424497955064,0.019025103566548695,2843898.5920840064,0,0.9490383606186268
AVY,0.0008810242122265725,0.012012360023615455,758516.1688206785,2,0.985156907352633
AWK,0.0005852197541837134,0.009947864563608681,947227.7471728595,2,0.9921425599770153
AXP,0.00036848499122847634,0.011595699992575417,4765089.887722133,0,0.8074347465497839
AYI,0.0007761475492578978,0.018015227809457843,483843.4369951535,0,0.5991489630573964
AZO,0.0005884571882524636,0.01179786724765329,312539.18659127626,2,0.9811856047522515
BA,0.00125062501449574,0.012521008974660462,4160833.0840064622,0,0.9503506002893483
BAC,0.0008863476401687504,0.014852176371990097,92337126.00646204,3,1.0
BAX,0.00012506309438147466,0.011920425761141438,4112430.7528271405,2,0.5088393866020253
BBT,0.0004999046666100401,0.011659872478173513,4189225.4184168014,0,0.5046015661327032
BBY,0.0013327482607077173,0.022443130914158324,5584137.915185783,0,0.9731358375799792
BDX,0.0007907727816378059,0.010135853328568905,1079603.4830371568,2,0.9916552062506079
BEN,-7.222627602344861e-05,0.013826351539074718,2571200.3109854604,2,0.8557126502521106
BF.B,0.000587821165074458,0.010897901711412809,978983.4894991922,2,0.9906489874685928
BHF,0.0002701435292359425,0.01606600442963893,951998.438016529,2,0.8129385375213425
BHGE,-0.001327889745020078,0.018757562938684184,4109410.1984732826,1,0.6037685540167442
BIIB,0.0007484518933238416,0.02053650962107352,1652069.224555735,0,0.96601558263912
BK,0.00061756281368791,0.012263717471208531,5347880.192245557,0,0.9281166326996281
BLK,0.000710587105224809,0.012852270341008621,636575.718901454,2,0.9796102698030679
BLL,0.0005314780997230217,0.011895367294731845,2371968.4862681744,2,0.9758293838591369
